semantic,metric,direction,boundary,n,mean,q25,q75,mean_clipscore_drop
texture,lpips,prefix,7,50,0.14275249969214202,0.06678859330713749,0.2114451490342617,-0.0036889255046844483
texture,lpips,prefix,8,50,0.1395315862284042,0.0517691895365715,0.21255804225802422,-0.0020870840549468994
texture,lpips,prefix,9,50,0.14133900467306376,0.04644912388175726,0.21078018844127655,-0.0018966889381408691
texture,lpips,prefix,10,50,0.14134930666536094,0.04683067463338375,0.213174507021904,-0.0013823068141937255
texture,lpips,suffix,0,50,0.14134930666536094,0.04683067463338375,0.213174507021904,-0.0013823068141937255
texture,lpips,suffix,1,50,0.1438072391413152,0.05393509939312935,0.20991741865873337,-0.0011676836013793945
texture,lpips,suffix,2,50,0.15076653564348816,0.060434697195887566,0.23393644392490387,0.0012781810760498047
texture,lpips,suffix,3,50,0.13424914297647775,0.06415979936718941,0.2178325019776821,0.0012636780738830566
texture,lpips,suffix,4,50,0.10980381540954114,0.05538311693817377,0.1515619456768036,-0.0016900098323822021
texture,lpips,suffix,5,50,0.09651329951360822,0.05010803136974573,0.1478998176753521,0.0009804165363311767
texture,lpips,suffix,6,50,0.06957123881205916,0.03695744648575783,0.10171539336442947,-0.0027262043952941896
texture,lpips,suffix,7,50,0.04213628924684599,0.01967848977074027,0.059171149507164955,-0.00041511297225952146
texture,lpips,suffix,8,50,0.021952858968870715,0.013330894988030195,0.026297245174646378,0.003462367057800293
texture,lpips,suffix,9,50,0.003642991810338572,0.002071478869765997,0.0047174443025141954,0.0005417609214782715
texture,lpips,suffix,10,50,0.0,0.0,0.0,0.0
texture,clipscore,prefix,0,50,0.9102693891525269,0.8704806566238403,0.9623354822397232,0.0
texture,clipscore,prefix,1,50,0.9142181372642517,0.8827915191650391,0.9701478481292725,-0.0039487481117248535
texture,clipscore,prefix,2,50,0.9097822761535644,0.867726743221283,0.9642283916473389,0.0004871129989624023
texture,clipscore,prefix,3,50,0.9160282504558563,0.8740934729576111,0.9666791558265686,-0.005758861303329468
texture,clipscore,prefix,4,50,0.9155019068717957,0.8747648596763611,0.9612380862236023,-0.005232517719268799
texture,clipscore,prefix,5,50,0.9159695017337799,0.877022460103035,0.9555712640285492,-0.005700112581253052
texture,clipscore,prefix,6,50,0.9097702157497406,0.867820143699646,0.9602628648281097,0.0004991734027862549
texture,clipscore,prefix,7,50,0.9139583146572113,0.8637173920869827,0.9632568955421448,-0.0036889255046844483
texture,clipscore,prefix,8,50,0.9123564732074737,0.8656117171049118,0.9584466516971588,-0.0020870840549468994
texture,clipscore,prefix,9,50,0.9121660780906677,0.866401419043541,0.9553839713335037,-0.0018966889381408691
texture,clipscore,prefix,10,50,0.9116516959667206,0.8653958737850189,0.9540745764970779,-0.0013823068141937255
texture,clipscore,suffix,0,50,0.9116516959667206,0.8653958737850189,0.9540745764970779,-0.0013823068141937255
texture,clipscore,suffix,1,50,0.9114370727539063,0.878728911280632,0.9530979543924332,-0.0011676836013793945
texture,clipscore,suffix,2,50,0.908991208076477,0.8617965877056122,0.9544467478990555,0.0012781810760498047
texture,clipscore,suffix,3,50,0.9090057110786438,0.8715171068906784,0.9467809945344925,0.0012636780738830566
texture,clipscore,suffix,4,50,0.9119593989849091,0.8750557601451874,0.957181841135025,-0.0016900098323822021
texture,clipscore,suffix,5,50,0.9092889726161957,0.8643501549959183,0.960437148809433,0.0009804165363311767
texture,clipscore,suffix,6,50,0.912995593547821,0.8750886023044586,0.9511179327964783,-0.0027262043952941896
texture,clipscore,suffix,7,50,0.9106845021247864,0.8715481609106064,0.9548573791980743,-0.00041511297225952146
texture,clipscore,suffix,8,50,0.9068070220947265,0.877971813082695,0.9534936249256134,0.003462367057800293
texture,clipscore,suffix,9,50,0.9097276282310486,0.8715610206127167,0.9591602087020874,0.0005417609214782715
texture,clipscore,suffix,10,50,0.9102693891525269,0.8704806566238403,0.9623354822397232,0.0
count,lpips,prefix,0,50,0.0,0.0,0.0,0.0
count,lpips,prefix,1,50,0.14289777111262084,0.06800328381359577,0.17946548387408257,0.006655483245849609
count,lpips,prefix,2,50,0.18270003646612168,0.08619899302721024,0.2616640366613865,0.0053396236896514895
count,lpips,prefix,3,50,0.1960573076363653,0.0915344450622797,0.28952183574438095,0.007094517946243286
count,lpips,prefix,4,50,0.1818662006780505,0.07882226444780827,0.24445917829871178,0.0070999467372894285
count,lpips,prefix,5,50,0.18801249230280517,0.0851003285497427,0.26543884724378586,0.007912912368774415
count,lpips,prefix,6,50,0.1864275434240699,0.0815560631453991,0.265080951154232,0.005397583246231079
count,lpips,prefix,7,50,0.18967812107875942,0.08513437584042549,0.26904381811618805,0.012406831979751587
count,lpips,prefix,8,50,0.1893152470141649,0.0899286288768053,0.26479168981313705,0.01325048804283142
count,lpips,prefix,9,50,0.18826270379126073,0.0811211708933115,0.2622213587164879,0.010996299982070922
count,lpips,prefix,10,50,0.18818925919011234,0.08043866604566574,0.26192211359739304,0.01157808780670166
count,lpips,suffix,0,50,0.18818925919011234,0.08043866604566574,0.26192211359739304,0.01157808780670166
count,lpips,suffix,1,50,0.20019948810338975,0.09061740711331367,0.2646019980311394,0.008386539220809936
count,lpips,suffix,2,50,0.14752413749694823,0.06701809354126453,0.21138614416122437,0.007186421155929565
count,lpips,suffix,3,50,0.14590031628031283,0.07269911468029022,0.20879362896084785,0.007050989866256714
count,lpips,suffix,4,50,0.13508925633504987,0.0760906171053648,0.17876067012548447,0.012793951034545899
count,lpips,suffix,5,50,0.10618302948772908,0.07238314859569073,0.13710400089621544,0.004422892332077027
count,lpips,suffix,6,50,0.09737693293020129,0.06833249516785145,0.13098383322358131,0.008024158477783204
count,lpips,suffix,7,50,0.0616687292791903,0.02875309670343995,0.08896877616643906,-0.0006484651565551758
count,lpips,suffix,8,50,0.025228686986956746,0.01472316775470972,0.03457583952695131,0.002218447923660278
count,lpips,suffix,9,50,0.004261059481650591,0.0023698799195699394,0.00582154409494251,-0.0006371188163757324
count,lpips,suffix,10,50,0.0,0.0,0.0,0.0
count,clipscore,prefix,0,50,0.8683300471305847,0.8209748566150665,0.9306959062814713,0.0
count,clipscore,prefix,1,50,0.8616745638847351,0.8149362951517105,0.9079622477293015,0.006655483245849609
count,clipscore,prefix,2,50,0.8629904234409332,0.8114836812019348,0.9168890863656998,0.0053396236896514895
count,clipscore,prefix,3,50,0.8612355291843414,0.8184969425201416,0.919853001832962,0.007094517946243286
count,clipscore,prefix,4,50,0.8612301003932953,0.8185766041278839,0.9324001222848892,0.0070999467372894285
count,clipscore,prefix,5,50,0.8604171347618103,0.8088603317737579,0.913372203707695,0.007912912368774415
count,clipscore,prefix,6,50,0.8629324638843536,0.8205154240131378,0.9196166545152664,0.005397583246231079
count,clipscore,prefix,7,50,0.8559232151508331,0.8090946078300476,0.9082656651735306,0.012406831979751587
count,clipscore,prefix,8,50,0.8550795590877533,0.8008645176887512,0.9199129343032837,0.01325048804283142
count,clipscore,prefix,9,50,0.8573337471485138,0.7999536693096161,0.9238709360361099,0.010996299982070922
count,clipscore,prefix,10,50,0.856751959323883,0.8016319572925568,0.9246229529380798,0.01157808780670166
count,clipscore,suffix,0,50,0.856751959323883,0.8016319572925568,0.9246229529380798,0.01157808780670166
count,clipscore,suffix,1,50,0.8599435079097748,0.8029971420764923,0.9186641275882721,0.008386539220809936
count,clipscore,suffix,2,50,0.8611436259746551,0.8202770799398422,0.915762260556221,0.007186421155929565
count,clipscore,suffix,3,50,0.861279057264328,0.8111324906349182,0.9045363962650299,0.007050989866256714
count,clipscore,suffix,4,50,0.8555360960960389,0.8068115413188934,0.9048350304365158,0.012793951034545899
count,clipscore,suffix,5,50,0.8639071547985077,0.8107554018497467,0.9233667552471161,0.004422892332077027
count,clipscore,suffix,6,50,0.8603058886528016,0.80705626308918,0.9288403987884521,0.008024158477783204
count,clipscore,suffix,7,50,0.8689785122871398,0.8192570954561234,0.923064723610878,-0.0006484651565551758
count,clipscore,suffix,8,50,0.8661115992069245,0.817345455288887,0.9257244765758514,0.002218447923660278
count,clipscore,suffix,9,50,0.8689671659469604,0.8238410651683807,0.9325212687253952,-0.0006371188163757324
count,clipscore,suffix,10,50,0.8683300471305847,0.8209748566150665,0.9306959062814713,0.0
spatial_relation,lpips,prefix,0,50,0.0,0.0,0.0,0.0
spatial_relation,lpips,prefix,1,50,0.12028918700525537,0.055688632652163506,0.1721714586019516,-0.007908512353897095
spatial_relation,lpips,prefix,2,50,0.12306783765554428,0.07388703338801861,0.15311187133193016,-0.006964013576507568
spatial_relation,lpips,prefix,3,50,0.1318728556856513,0.07020020857453346,0.15057235956192017,-0.00434063196182251
spatial_relation,lpips,prefix,4,50,0.11885772084817291,0.03805011045187712,0.16484234482049942,-0.00540554404258728
spatial_relation,lpips,prefix,5,50,0.13345072642434389,0.0701733585447073,0.17710914090275764,-0.005811548233032227
spatial_relation,lpips,prefix,6,50,0.13307604286819696,0.06139924190938473,0.1726515032351017,-0.0035695314407348635
spatial_relation,lpips,prefix,7,50,0.13452802596148103,0.06762958876788616,0.17596372589468956,0.0006907439231872559
spatial_relation,lpips,prefix,8,50,0.13322081440943292,0.06287250202149153,0.17562183365225792,-0.0012943291664123536
spatial_relation,lpips,prefix,9,50,0.13364032668992876,0.06437174417078495,0.18098002672195435,0.00026949048042297364
spatial_relation,lpips,prefix,10,50,0.13364921687170864,0.06359003018587828,0.18024644255638123,-0.0009081482887268067
spatial_relation,lpips,suffix,0,50,0.13364921687170864,0.06359003018587828,0.18024644255638123,-0.0009081482887268067
spatial_relation,lpips,suffix,1,50,0.12883462592959405,0.07064160518348217,0.16727419942617416,-0.002446439266204834
spatial_relation,lpips,suffix,2,50,0.10965093836188317,0.03517210762947798,0.15980129688978195,-0.002172396183013916
spatial_relation,lpips,suffix,3,50,0.12341478525660932,0.05050932057201862,0.17449146136641502,-0.003577214479446411
spatial_relation,lpips,suffix,4,50,0.114151351749897,0.06226431019604206,0.16913438215851784,-0.0019330883026123047
spatial_relation,lpips,suffix,5,50,0.09934694018214942,0.05077624227851629,0.1350068263709545,-0.0016275393962860108
spatial_relation,lpips,suffix,6,50,0.07601466592401267,0.04002844449132681,0.0987801868468523,-0.0016905045509338378
spatial_relation,lpips,suffix,7,50,0.050460163946263493,0.028940838761627674,0.07383726164698601,-0.00214777946472168
spatial_relation,lpips,suffix,8,50,0.020954722355818377,0.009727864991873503,0.029681571759283543,-0.0002813756465911865
spatial_relation,lpips,suffix,9,50,0.0028996336698764937,0.001527017739135772,0.004118742537684739,0.00013822793960571289
spatial_relation,lpips,suffix,10,50,0.0,0.0,0.0,0.0
spatial_relation,clipscore,prefix,0,50,0.8795398581027984,0.8468290865421295,0.9203850775957108,0.0
spatial_relation,clipscore,prefix,1,50,0.8874483704566956,0.8337629437446594,0.931131437420845,-0.007908512353897095
spatial_relation,clipscore,prefix,2,50,0.886503871679306,0.8436048328876495,0.9239905029535294,-0.006964013576507568
spatial_relation,clipscore,prefix,3,50,0.883880490064621,0.8444537967443466,0.9214225113391876,-0.00434063196182251
spatial_relation,clipscore,prefix,4,50,0.8849454021453858,0.8437725752592087,0.9290263652801514,-0.00540554404258728
spatial_relation,clipscore,prefix,5,50,0.8853514063358306,0.8506293296813965,0.9264532625675201,-0.005811548233032227
spatial_relation,clipscore,prefix,6,50,0.8831093895435334,0.8423940986394882,0.9307781755924225,-0.0035695314407348635
spatial_relation,clipscore,prefix,7,50,0.8788491141796112,0.8375018537044525,0.9166079461574554,0.0006907439231872559
spatial_relation,clipscore,prefix,8,50,0.8808341872692108,0.8317682892084122,0.9209047257900238,-0.0012943291664123536
spatial_relation,clipscore,prefix,9,50,0.8792703676223755,0.8351632654666901,0.9199546575546265,0.00026949048042297364
spatial_relation,clipscore,prefix,10,50,0.8804480063915253,0.834464967250824,0.9164806008338928,-0.0009081482887268067
spatial_relation,clipscore,suffix,0,50,0.8804480063915253,0.834464967250824,0.9164806008338928,-0.0009081482887268067
spatial_relation,clipscore,suffix,1,50,0.8819862973690032,0.8396829217672348,0.9305162876844406,-0.002446439266204834
spatial_relation,clipscore,suffix,2,50,0.8817122542858123,0.833088681101799,0.9190545231103897,-0.002172396183013916
spatial_relation,clipscore,suffix,3,50,0.8831170725822449,0.8251774460077286,0.9322214871644974,-0.003577214479446411
spatial_relation,clipscore,suffix,4,50,0.8814729464054107,0.8276099860668182,0.9306478649377823,-0.0019330883026123047
spatial_relation,clipscore,suffix,5,50,0.8811673974990845,0.8400800377130508,0.9329207241535187,-0.0016275393962860108
spatial_relation,clipscore,suffix,6,50,0.8812303626537323,0.8488361090421677,0.9179406017065048,-0.0016905045509338378
spatial_relation,clipscore,suffix,7,50,0.8816876375675201,0.84552401304245,0.9215312749147415,-0.00214777946472168
spatial_relation,clipscore,suffix,8,50,0.8798212337493897,0.8481334298849106,0.9226242750883102,-0.0002813756465911865
spatial_relation,clipscore,suffix,9,50,0.8794016301631927,0.8469047248363495,0.9185670465230942,0.00013822793960571289
spatial_relation,clipscore,suffix,10,50,0.8795398581027984,0.8468290865421295,0.9203850775957108,0.0
